,Y,OBJECTID,ID,ID_1,LabelID,STATUS,LOCATION,CORRIDOR,CATEGORY,INSET,CATS,DESCRIPTION
1450476.958,546383.574,102,38,38,38,UNFUNDED,CSXT/Norfolk Southern (NS) Mainline Grade Separation,CSXT/NS,CDOT/NCDOT MOU                     ,1,,Lowers CSXT mainline track under Norfolk Southern mainline track.  Eliminates several at grade street crossings at CSXT and NS tracks.  Improves rail operations thru Charlotte.    Reduction of at grade crossings will significantly reduce locomotive horn b
1454715.281,545446.6715,103,51,51,51,FUNDED,Thoroughbred Bulk Terminal,NCRR/NS,OTHER,,,NS will use remnant of former Intermodal Yard near Uptown to do additional transloading and allow for additional capacity for other operations at its Pineville Yard
1438136.25,556066.9165,104,7,7,7,COMPLETED,Crigler St.,CSXT,CDOT/NCDOT MOU,,,Crossing Closed
1471220.25,524191.7502,105,55,55,55,COMPLETED,Rama Rd.,CSXT,Other,,,
1454979.538,577116.6621,106,29,29,29,PARTIALLY FUNDED,Pete Brown Rd. Improvements,NS,OTHER,,,"In design, ROW purchase anticipated to be completed in fall 2016.  Construction TBD."
1427128.886,563171.8915,107,8,8,8,COMPLETED,Craig St.,CSXT,CDOT/NCDOT MOU,,,Crossing Closed
1456155.866,583180.5452,108,14,14,14,PARTIALLY FUNDED,David Cox Rd.  and NC 115 (Old Statesville Rd.) Intersection Improvements ,NS,OTHER,,,"Project in planning, no timetable for design, ROW or construction at this time."
1443616.612,541007.4596,109,33,33,33,UNFUNDED,W. Summit Ave.,NS,CDOT/NCDOT MOU/CRISP,,,Crossing upgrades to occur with future phases of the Charlotte Locomotive and Railcar Maintenance Facility project; Wilmore neighborhood has requested evaluation of quite zone and street closure. 
1450315.958,546348.3584,110,4,4,4,COMPLETED,Smith St. - Seaboard St.                            (W. 11th St.),NS,CDOT/NCDOT MOU,1,,Crossing Closed
1464898.698,551097.999,111,13,13,13,UNFUNDED,Amtrak Station at Sugar Creek Rd.,NCRR/NS,OTHER,1,,N/A
1448277.798,544504.2402,112,24,24,24,PARTIALLY FUNDED,Charlotte Gateway Station,NS,CRISP,1,,"Public / Private Partnership development of new multi modal station incorporating intercity rail, commuter rail, intercity bus, regional bus, local bus, street car and taxis.  Bounded by 4th, Graham, Trade and rail corridor.  NCDOT received TIGER grant to"
1452356.083,545541.4865,113,22,22,22,FUNDED,N. Church St.,CSXT,CDOT/NCDOT MOU/CRISP,1,,Construction is underway on adjacent street construction in advance of crossing closing; anticipated closure will occur in 2016.
1482099.007,561190.8471,114,3,3,3,COMPLETED,Rocky River Rd.,NCRR/NS,CDOT/NCDOT MOU,,,Crossing Closed
1450287.039,546453.4202,115,6,6,6,COMPLETED,Seaboard St. (W. 11th St.),CSXT,CDOT/NCDOT MOU,1,,Crossing Closed
1456877.116,588819.5702,116,62,,,,,,,,,
1433692.833,541293.8365,117,45,45,45,UNFUNDED,Clanton Rd. Extension,NS,CRISP,,,Extension of Clanton Rd. from West Blvd. to Wilkinson Blvd. with grade separation over NS Railroad. Donald Ross Rd. at-grade crossing will be closed upon completion of Clanton Road Ext.  Project has been submitted to NCDOT for SPOT4.0 evaluation.
1468654.833,552175.6665,118,12,12,12,COMPLETED,Eastway Dr. Bridge Modifications ,NCRR/NS/CATS,CRISP,,1,Bridge  rebuilt to accommodate CATS BLE; Open
1434478.803,560093.0015,119,11,11,11,COMPLETED,CSXT Intermodal Facility,CSXT,CRISP,,,Expanded yard at existing site; Facility Open
1460825.25,550578.2502,120,28,28,28,FUNDED,36th St. Grade Separation,NCRR/NS/CATS,CRISP,1,1,"Construct underpass to grade separate BLE, NS, and NCRR tracks from 36th St.   Project completion scheduled for 2017."
1489380.222,572228.5559,121,32,32,32,FUNDED,Eastern Circumferential Road & Back Creek Church Rd. ,NCRR/NS,OTHER,,,"CDOT and NCDOT will enter into an agreement to construct a road under the NCRR bridge to connect NC 49 with Back Creek Church Rd.  When complete, Back Creek Church Rd. at-grade crossing with NCRR/|NS will close.  Anticipated completion by 2023."
1449596.383,545956.6727,122,5,5,5,COMPLETED,W. 9th St.,NS,CDOT/NCDOT MOU,1,,Crossing Closed
